Old ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,VLF,ULF,Time,Exp,Participant,Step,Seq,ID,No-Step
PS-9_067_11_06_08_13_12_18_1.csv,72.19755959,15.7952352,1.379310345,33.2483023,21.54921014,114.2171734,5.300295124,21.99685416,279.4111438,120.4112183,9,67,11,1,9_67_11_1,67_11_1
PS-9_069_11_06_09_12_19_53_0.csv,75.86311589,37.36158245,14.66666667,61.62646982,207.7390034,281.6057824,1.355574918,96.50349149,394.0582659,120.2119948,9,69,11,0,9_69_11_0,69_11_0
PS-9_069_11_06_09_12_19_53_1.csv,75.5859375,23.89210217,5.921052632,35.75074478,92.23626716,313.3334755,3.397074548,67.82820169,120.257387,120.7704565,9,69,11,1,9_69_11_1,69_11_1
PS-9_070_11_06_15_19_51_33_0.csv,73.55540071,20.14471297,2,41.76003298,33.34303699,249.5846119,7.485359294,165.1758868,356.9836085,120.813372,9,70,11,0,9_70_11_0,70_11_0
PS-9_070_11_06_15_19_51_33_1.csv,72.45574089,14.382316,2.054794521,27.05706408,30.0470266,172.8263895,5.7518633,214.0648774,67.35346959,120.4604547,9,70,11,1,9_70_11_1,70_11_1
PS-9_072_11_06_16_09_45_43_0.csv,83.17864374,39.14866969,17.85714286,49.1507351,254.9137915,467.8766865,1.835431044,162.7012625,54.97866127,120.4971711,9,72,11,0,9_72_11_0,72_11_0
PS-9_072_11_06_16_09_45_43_1.csv,82.79922501,31.45728653,12.5748503,46.36229404,272.1420347,570.4454472,2.096131337,50.90071731,171.6416689,120.4536161,9,72,11,1,9_72_11_1,72_11_1
PS-9_073_11_06_09_09_55_21_0.csv,81.73828125,34.49032886,12.72727273,49.90096523,154.4680497,340.2569864,2.202766119,157.6198409,130.2471322,120.1100419,9,73,11,0,9_73_11_0,73_11_0
PS-9_075_11_06_09_12_49_52_0.csv,78.22145352,38.96784027,12.82051282,55.65074745,313.067029,508.0397738,1.622782749,147.0566093,354.5005953,120.8378317,9,75,11,0,9_75_11_0,75_11_0
PS-9_075_11_06_09_12_49_52_1.csv,77.49145656,28.78349241,5.769230769,51.12902361,110.2655888,585.0659891,5.30597075,213.4581668,423.6698263,120.4037442,9,75,11,1,9_75_11_1,75_11_1
PS-9_078_11_06_09_18_09_05_0.csv,55.43331136,57.51473808,25.22522523,98.25349986,435.9176658,628.6618276,1.442157262,1035.990038,669.1316167,120.121046,9,78,11,0,9_78_11_0,78_11_0
PS-9_078_11_06_09_18_09_05_1.csv,56.25,44.62877703,19.29824561,73.24856864,176.0498243,1143.090167,6.492992379,300.1874244,988.4848393,120.6524724,9,78,11,1,9_78_11_1,78_11_1
PS-9_078_11_06_09_18_09_05_2.csv,59.24891911,34.21166153,12.5,50.24714561,178.2615149,210.6118358,1.181476753,347.7791914,596.03483,120.9167482,9,78,11,2,9_78_11_2,78_11_2
PS-9_079_11_06_09_18_55_19_0.csv,82.13325126,38.20145743,15.33742331,59.90812757,191.0407926,326.6574942,1.709883474,138.6879272,224.7503191,120.3093287,9,79,11,0,9_79_11_0,79_11_0
PS-9_079_11_06_09_18_55_19_1.csv,82.61431031,30.66256246,10.84337349,37.74517994,201.4867816,570.64202,2.832156112,107.5555761,18.97223915,120.1568247,9,79,11,1,9_79_11_1,79_11_1
PS-9_080_11_06_10_09_23_36_0.csv,87.45144659,41.79637695,20,64.42253138,166.2384204,1447.112418,8.70504192,776.0652135,494.978485,120.442789,9,80,11,0,9_80_11_0,80_11_0
PS-9_081_11_06_11_16_06_45_0.csv,76.22833747,25.60329451,7.096774194,49.34429527,41.69637307,232.1629102,5.56794016,94.05803896,296.3510986,120.3546029,9,81,11,0,9_81_11_0,81_11_0
PS-9_081_11_06_11_16_06_45_1.csv,76.89233589,27.11770882,3.246753247,38.27928837,199.9886597,717.9111286,3.589759189,125.9456566,76.07314376,120.7604792,9,81,11,1,9_81_11_1,81_11_1
PS-9_082_11_06_10_12_36_54_0.csv,70.05941222,49.62430994,26.05633803,85.96931222,490.9062935,1760.019756,3.585245858,2332.916125,1441.022726,120.6837774,9,82,11,0,9_82_11_0,82_11_0
PS-9_082_11_06_10_12_36_54_1.csv,72.69190592,49.85316997,22.75862069,68.43032284,374.7852879,844.7020381,2.253829234,224.4580611,274.5656868,120.6532212,9,82,11,1,9_82_11_1,82_11_1
PS-9_001_21_05_21_12_23_12_0.csv,73.40499504,43.93972315,20.80536913,58.58291943,434.7698654,1098.633861,2.526931944,73.59077975,394.003227,120.6727106,9,1,21,0,9_1_21_0,1_21_0
